YEAR GRAD,STUDENT ID,AGE,RACE,GENDER,JOB STATUS,COMPANY NAME,JOB FIELD,STATE,PROGRAM ID,PROGRAM NAME,SALARY,CLASS MODE,COST,PROGRAM TYPE,AGE GROUP,AGE CLEAN
2023,WBPN221131,40,MELAYU,FEMALE,BEKERJA SEPENUH MASA,BOSTON SCIENTIFIC BATU KAWAN PENANG,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PAHANG,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,2000.00,ONLINE,5525,BACELOR,40-49,40.0
2023,WBPN221132,41,MELAYU,FEMALE,BEKERJA SEPENUH MASA,INTEL MICROELECTRONICS,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PULAU PINANG,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,3500.00,ONLINE,5622,BACELOR,40-49,41.0
2023,WBPN22122,32,INDIA,MALE,BEKERJA SEPENUH MASA,HP MALAYSIA MANUFACTURING SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PERAK,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,2341.00,ONLINE,5103,BACELOR,30-39,32.0
2023,WBPN22149,36,INDIA,FEMALE,BEKERJA SEPENUH MASA,TIME DOT COM SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,4000.00,ONLINE,4336,BACELOR,30-39,36.0
2023,WBPN22159,42,IBAN/SEA DAYAK -SARAWAK,MALE,BEKERJA SEPENUH MASA,SAIPEM QATAR,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SARAWAK,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,5500.00,ONLINE,4763,BACELOR,40-49,42.0
2023,WBPN22171,50,CINA,FEMALE,BEKERJA SEPENUH MASA,AIA INSURANCE,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PULAU PINANG,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,3000.00,ONLINE,5534,BACELOR,50-59,50.0
2023,WBPN22189,28,MELAYU,FEMALE,BEKERJA SEPENUH MASA,ROBERT BOSCH SEMICONDUCTOR (M) SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PULAU PINANG,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,2700.00,ONLINE,4057,BACELOR,<29,28.0
2023,WBPN22194,42,MELAYU,FEMALE,BEKERJA SEPENUH MASA,JOBSTREET.COM SHARED SERVICE SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,8500.00,ONLINE,5966,BACELOR,40-49,42.0
2023,WBPN22218,37,MELAYU,FEMALE,BEKERJA SEPENUH MASA,MALAYSIA AIRPORT HOLDING BERHAD (MAHB),"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,2500.00,ONLINE,5909,BACELOR,30-39,37.0
2023,WBPN22219,44,MELAYU,MALE,BEKERJA SEPENUH MASA,SAMTEC ASIA PACIFIC MALAYSIA SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",NEGERI SEMBILAN,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,12000.00,ONLINE,5444,BACELOR,40-49,44.0
2023,WDPB18401,37,MELAYU,FEMALE,BEKERJA SEPARA MASA,DUTA TIMUR ENTERPRISE,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PAHANG,382,DIPLOMA PROFESIONAL PENGURUSAN PERNIAGAAN & KEUSAHAWANAN,2500.00,ONLINE,2464,DIPLOMA,30-39,37.0
2023,WDPB20303,36,MELAYU,FEMALE,BEKERJA SEPENUH MASA,HOSPITAL KPJ SEREMBAN,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",NEGERI SEMBILAN,382,DIPLOMA PROFESIONAL PENGURUSAN PERNIAGAAN & KEUSAHAWANAN,2500.00,ONLINE,2154,DIPLOMA,30-39,36.0
2023,WDPB20306,38,INDIA,MALE,BEKERJA SEPENUH MASA,PHILIP MORRIS (M) SDN.BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",NEGERI SEMBILAN,382,DIPLOMA PROFESIONAL PENGURUSAN PERNIAGAAN & KEUSAHAWANAN,2500.00,ONLINE,2478,DIPLOMA,30-39,38.0
2023,WDPB21303,39,INDIA,MALE,BEKERJA SEPENUH MASA,MFEXBYEUROCLEAR MALAYSIA,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,382,DIPLOMA PROFESIONAL PENGURUSAN PERNIAGAAN & KEUSAHAWANAN,10000.00,ONLINE,3098,DIPLOMA,30-39,39.0
2023,WDPB21307,40,MELAYU,MALE,BEKERJA/USAHAWAN/FREELANCE,BORONG WANN,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PERLIS,382,DIPLOMA PROFESIONAL PENGURUSAN PERNIAGAAN & KEUSAHAWANAN,3500.00,ONLINE,3699,DIPLOMA,40-49,40.0
2023,WDPB21308,30,INDIA,FEMALE,BEKERJA SEPENUH MASA,ILLUMINA,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",JOHOR,382,DIPLOMA PROFESIONAL PENGURUSAN PERNIAGAAN & KEUSAHAWANAN,1200.00,ONLINE,3907,DIPLOMA,30-39,30.0
2023,WDPB21311,47,INDIA,MALE,BEKERJA SEPENUH MASA,INTERSOFTKK M SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,382,DIPLOMA PROFESIONAL PENGURUSAN PERNIAGAAN & KEUSAHAWANAN,5000.00,ONLINE,3341,DIPLOMA,40-49,47.0
